1,0,400,17
1,1,0,23
2,0,80,17
2,0,130,19
2,1,0,17
3,0,130,18
3,0,49,17
3,1,30,18
4,0,85,19
4,0,150,18
4,1,0,20
4,1,30,17
4,1,20,18
5,0,60,17
5,0,70,18
5,0,33,17
5,1,1000,20
6,0,33,17
6,0,80,19
6,0,110,18
6,0,50,17
6,0,80,19
6,1,30,17
6,1,20,18
6,1,50,19
7,0,50,17
7,0,70,17
7,0,100,18
7,0,50,17
7,0,70,17
7,0,100,18
7,0,50,17
7,0,70,17
7,0,100,18
7,0,20,19
7,1,0,20
7,1,30,17
7,1,20,18
7,1,50,19
7,1,2000,20
8,0,49,19
8,0,70,17
8,0,90,18
8,1,30,17
8,1,20,18
8,1,500,20
8,1,2500,20
8,1,3500,20
8,1,4000,20
