1,0,1000,33
1,0,400,17
1,1,0,36
2,0,60,22
2,0,120,21
2,0,60,25
2,0,120,31
2,0,60,33
2,0,1,36
2,0,120,27
2,0,60,30
2,0,120,17
2,0,60,18
2,0,120,36
2,0,60,28
2,0,120,24
2,0,60,19
2,1,0,36
1,1,600,36
3,0,130,19
3,0,49,36
3,0,130,27
3,0,49,17
3,0,130,25
3,0,49,21
3,0,130,22
3,0,49,28
3,0,130,18
3,0,49,31
3,0,130,24
3,0,49,30
3,0,130,33
4,0,85,27
4,0,150,21
4,0,85,33
4,0,150,31
4,0,85,36
4,0,150,22
4,0,85,25
4,0,150,17
4,0,85,30
4,0,150,24
4,0,85,28
4,0,150,19
4,0,85,18
4,1,0,20
4,1,30,31
4,1,20,22
5,0,60,27
5,0,70,36
5,0,33,28
5,0,60,21
5,0,70,24
5,0,33,18
5,0,60,31
5,0,70,17
5,0,33,33
5,0,60,22
5,0,70,30
5,0,33,19
5,0,60,25
5,1,1000,20
6,0,33,22
6,0,80,17
6,0,110,21
6,0,50,33
6,0,80,19
6,0,33,31
6,0,80,28
6,0,110,24
6,0,50,30
6,0,80,25
6,0,33,18
6,0,80,27
6,0,110,36
6,1,30,27
6,1,20,22
6,1,50,19
7,0,50,31
7,0,70,21
7,0,100,22
7,0,50,27
7,0,70,33
7,0,100,18
7,0,50,30
7,0,70,28
7,0,100,17
7,0,20,25
7,0,50,36
7,0,70,24
7,0,100,19
7,1,0,20
7,1,30,19
7,1,20,25
7,1,50,24
7,1,2000,20
8,0,49,19
8,0,70,17
8,0,90,18
8,1,30,17
8,1,20,18
8,1,500,20
8,1,2500,20
8,1,3500,20
8,1,4000,20
