1,0,350,27
1,1,0,27
2,0,78,27
2,0,128,28
2,1,0,27
3,0,300,18
3,0,48,27
3,0,50,27
3,0,52,27
3,0,28,31
3,1,50,18
4,0,54,27
4,0,56,27
4,0,58,27
4,0,83,28
4,0,300,18
4,1,0,31
4,1,30,27
4,1,20,18
5,0,20,31
5,0,50,31
5,0,58,27
5,0,62,27
5,0,66,27
5,0,300,18
5,0,100,27
5,1,1000,31
6,0,48,31
6,0,60,31
6,0,78,28
6,0,90,31
6,0,91,28
6,0,109,31
6,0,120,28
6,0,300,18
6,1,30,27
6,1,20,18
6,1,50,28
7,0,98,27
7,0,100,27
7,0,102,27
7,0,400,18
7,0,98,27
7,0,100,31
7,0,600,18
7,0,18,28
7,1,0,31
7,1,30,27
7,1,20,18
7,1,50,28
7,1,2000,31
8,0,68,27
8,0,70,27
8,0,72,27
8,0,90,28
8,0,110,27
8,0,300,18
8,0,130,31
8,1,20,18
8,1,500,31
8,1,2500,31
8,1,3500,31
8,1,4000,31
