1,0,400,21
1,1,0,21
2,0,80,21
2,0,130,19
2,1,0,21
3,0,130,18
3,0,49,21
3,0,30,22
3,1,50,18
4,0,85,19
4,0,150,18
4,1,0,22
4,1,30,21
4,1,20,18
5,0,60,21
5,0,70,18
5,0,33,21
5,1,1000,22
6,0,50,22
6,0,80,19
6,0,110,18
6,0,100,22
6,0,100,19
6,1,30,21
6,1,20,18
6,1,50,19
7,0,100,21
7,0,140,21
7,0,100,18
7,0,100,21
7,0,70,22
7,0,100,18
7,0,80,22
7,0,70,21
7,0,100,18
7,0,20,19
7,1,0,22
7,1,30,21
7,1,20,18
7,1,50,19
7,1,2000,22
8,0,49,19
8,0,70,21
8,0,90,18
8,0,80,22
8,1,20,18
8,1,500,22
8,1,2500,22
8,1,3500,22
8,1,4000,22
